catalogNumber,institutionCode,species_raw,determiner_raw,determiner_tier,type_status,latitude,longitude,coordinateUncertainty,doy,pheno_sin,pheno_cos,regional_group,image_path
NCU00447408,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Basinger, Mark A.",Tier_2_Silver,None,35.766811,-77.85786,500.0,96,0.996751,-0.080549,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00447408.jpg
NCU00438248,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.006565,-81.275328,100.0,132,0.764891,-0.644159,Appalachian_Highlands,data/raw_vouchers/NCU00438248.jpg
NCU00451272,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.00649,-81.27547,100.0,218,-0.571667,-0.820486,Appalachian_Highlands,data/raw_vouchers/NCU00451272.jpg
NCU00451271,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.00649,-81.27547,100.0,218,-0.571667,-0.820486,Appalachian_Highlands,data/raw_vouchers/NCU00451271.jpg
NCU00457404,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.98685,-81.28608,300.0,218,-0.571667,-0.820486,Appalachian_Highlands,data/raw_vouchers/NCU00457404.jpg
HXC006589,HXC,Packera tomentosa C.Jeffrey,Adam C. Schneider,Tier_3_Bronze,None,35.29523,-92.480402,6.0,132,0.764891,-0.644159,Appalachian_Highlands,data/raw_vouchers/HXC006589.jpg
HXC006286,HXC,Packera tomentosa C.Jeffrey,Adam C. Schneider,Tier_3_Bronze,None,34.97518,-92.31578,8.0,139,0.681972,-0.731378,Interior_Prairie_Midwest,data/raw_vouchers/HXC006286.jpg
NCU00438234,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.12574,-83.796982,100.0,135,0.730644,-0.682758,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00438234.jpg
NCU00438236,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.658237,-84.120047,100.0,135,0.730644,-0.682758,Appalachian_Highlands,data/raw_vouchers/NCU00438236.jpg
NCU00438221,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.658237,-84.120047,100.0,140,0.66929,-0.743001,Appalachian_Highlands,data/raw_vouchers/NCU00438221.jpg
NCU00438232,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.12574,-83.796982,100.0,135,0.730644,-0.682758,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00438232.jpg
NCU00438245,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.662678,-76.549554,100.0,132,0.764891,-0.644159,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438245.jpg
NCU00438235,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.658237,-84.120047,100.0,135,0.730644,-0.682758,Appalachian_Highlands,data/raw_vouchers/NCU00438235.jpg
NCU00438220,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.407996,-86.732739,100.0,134,0.742281,-0.670089,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438220.jpg
NCU00438223,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.006563,-81.275257,100.0,133,0.753698,-0.657221,Appalachian_Highlands,data/raw_vouchers/NCU00438223.jpg
NCU00438214,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.407996,-86.732739,100.0,134,0.742281,-0.670089,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438214.jpg
NCU00438244,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.006563,-81.275701,100.0,133,0.753698,-0.657221,Appalachian_Highlands,data/raw_vouchers/NCU00438244.jpg
NCU00227519,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.00649,-81.27547,100.0,133,0.753698,-0.657221,Appalachian_Highlands,data/raw_vouchers/NCU00227519.jpg
NCU00445859,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.78611,-85.89136,100.0,134,0.742281,-0.670089,Interior_Prairie_Midwest,data/raw_vouchers/NCU00445859.jpg
NCU00438219,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.514,-75.744,300.0,182,0.010751,-0.999942,Appalachian_Highlands,data/raw_vouchers/NCU00438219.jpg
NCU00438240,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.293,-75.505,300.0,182,0.010751,-0.999942,Appalachian_Highlands,data/raw_vouchers/NCU00438240.jpg
NCU00438242,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.67218,-75.91535,100.0,182,0.010751,-0.999942,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438242.jpg
NCU00438222,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.67185,-75.91505,100.0,182,0.010751,-0.999942,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438222.jpg
NCU00438239,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.293,-75.505,300.0,182,0.010751,-0.999942,Appalachian_Highlands,data/raw_vouchers/NCU00438239.jpg
NCU00438241,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.67218,-75.91535,100.0,182,0.010751,-0.999942,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438241.jpg
NCU00438218,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.807068,-75.481169,100.0,183,-0.006451,-0.999979,Appalachian_Highlands,data/raw_vouchers/NCU00438218.jpg
NCU00438216,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.33552,-94.03838,300.0,203,-0.343367,-0.939201,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438216.jpg
NCU00438217,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.69,-92.436,1000.0,206,-0.391358,-0.920239,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438217.jpg
NCU00438233,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.562,-75.06,500.0,183,-0.006451,-0.999979,Appalachian_Highlands,data/raw_vouchers/NCU00438233.jpg
NCU00438246,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.98431,-94.68248,100.0,204,-0.359472,-0.933156,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438246.jpg
NCU00438238,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.562,-75.06,300.0,183,-0.006451,-0.999979,Appalachian_Highlands,data/raw_vouchers/NCU00438238.jpg
NCU00438247,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.98431,-94.68248,100.0,204,-0.359472,-0.933156,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438247.jpg
NCU00438215,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.33552,-94.03838,300.0,203,-0.343367,-0.939201,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438215.jpg
NCU00438237,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.58694,-92.25419,100.0,203,-0.343367,-0.939201,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438237.jpg
NCU00227517,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.57968,-91.98621,100.0,207,-0.407129,-0.91337,Interior_Prairie_Midwest,data/raw_vouchers/NCU00227517.jpg
NCU00445952,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.10642,-82.11087,100.0,187,-0.07519,-0.997169,Appalachian_Highlands,data/raw_vouchers/NCU00445952.jpg
NCU00227518,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.57968,-91.98621,100.0,207,-0.407129,-0.91337,Interior_Prairie_Midwest,data/raw_vouchers/NCU00227518.jpg
NCU00438253,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.662708,-76.549547,100.0,310,-0.813668,0.58133,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438253.jpg
NCU00438252,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.662708,-76.549547,100.0,310,-0.813668,0.58133,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438252.jpg
ANHC018788,ANHC,Packera tomentosa C.Jeffrey,Diana L. Soteropoulos,Tier_3_Bronze,None,34.595446,-91.095695,10.0,82,0.987196,0.159513,Interior_Prairie_Midwest,data/raw_vouchers/ANHC018788.jpg
ANHC018923,ANHC,Packera tomentosa C.Jeffrey,Diana L. Soteropoulos,Tier_3_Bronze,None,34.595497,-91.095656,10.0,103,0.979857,-0.199702,Interior_Prairie_Midwest,data/raw_vouchers/ANHC018923.jpg
NCU00388695,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.082335,-78.166652,100.0,141,0.656411,-0.754404,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00388695.jpg
ANHC010906,ANHC,Packera tomentosa C.Jeffrey,Jennifer Reed,Tier_3_Bronze,None,35.49907,-90.73098,10.0,109,0.954067,-0.299595,Interior_Prairie_Midwest,data/raw_vouchers/ANHC010906.jpg
82167,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,36.92968,-76.546604,105.0,126,0.827189,-0.561923,Coastal_Plain_Sandhills,data/raw_vouchers/82167.jpg
82170,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,36.952594,-76.53272,411.0,126,0.827189,-0.561923,Coastal_Plain_Sandhills,data/raw_vouchers/82170.jpg
80073,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,36.371318,-75.931897,1660.0,113,0.93121,-0.364483,Coastal_Plain_Sandhills,data/raw_vouchers/80073.jpg
80077,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,37.445492,-76.530094,1470.0,119,0.888701,-0.458487,Coastal_Plain_Sandhills,data/raw_vouchers/80077.jpg
80078,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,36.952594,-76.53272,411.0,129,0.797102,-0.603845,Coastal_Plain_Sandhills,data/raw_vouchers/80078.jpg
HXC001260,HXC,Packera tomentosa C.Jeffrey,A. Bigott,Tier_3_Bronze,None,35.106432,-92.434888,120.0,96,0.996751,-0.080549,Interior_Prairie_Midwest,data/raw_vouchers/HXC001260.jpg
79683,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick",Tier_3_Bronze,None,37.111526,-76.467244,1000.0,118,0.896456,-0.443132,Coastal_Plain_Sandhills,data/raw_vouchers/79683.jpg
3119562,NY,Packera tomentosa C.Jeffrey,W. D. Longbottom,Tier_3_Bronze,None,38.506168,-75.74646,110.51,116,0.911169,-0.412034,Appalachian_Highlands,data/raw_vouchers/3119562.jpg
NCU00143989,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.740816,-77.517384,300.0,118,0.896456,-0.443132,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00143989.jpg
NCU00143995,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.385433,-75.354407,424.0,117,0.903946,-0.427646,Appalachian_Highlands,data/raw_vouchers/NCU00143995.jpg
NCU00091068,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.290472,-75.536583,100.0,119,0.888701,-0.458487,Appalachian_Highlands,data/raw_vouchers/NCU00091068.jpg
PH00820795,ANSP,Packera tomentosa C.Jeffrey,Wayne D. Longbottom,Tier_3_Bronze,None,38.286788,-75.365746,300.0,119,0.888701,-0.458487,Appalachian_Highlands,data/raw_vouchers/PH00820795.jpg
