catalogNumber,split,is_negative,num_instances,image_path,label_path
LSU00083068,train,False,16,data\yolo_dataset\images\train\LSU00083068.jpg,data\yolo_dataset\labels\train\LSU00083068.txt
LSU00216634,train,False,21,data\yolo_dataset\images\train\LSU00216634.jpg,data\yolo_dataset\labels\train\LSU00216634.txt
LSU00083069,train,False,12,data\yolo_dataset\images\train\LSU00083069.jpg,data\yolo_dataset\labels\train\LSU00083069.txt
LSU00223874,train,False,22,data\yolo_dataset\images\train\LSU00223874.jpg,data\yolo_dataset\labels\train\LSU00223874.txt
LSU00217047,train,False,18,data\yolo_dataset\images\train\LSU00217047.jpg,data\yolo_dataset\labels\train\LSU00217047.txt
LSU00117615,train,False,28,data\yolo_dataset\images\train\LSU00117615.jpg,data\yolo_dataset\labels\train\LSU00117615.txt
NLU0061144,train,False,24,data\yolo_dataset\images\train\NLU0061144.jpg,data\yolo_dataset\labels\train\NLU0061144.txt
LSU00183753,train,False,43,data\yolo_dataset\images\train\LSU00183753.jpg,data\yolo_dataset\labels\train\LSU00183753.txt
LSU00216344,train,False,26,data\yolo_dataset\images\train\LSU00216344.jpg,data\yolo_dataset\labels\train\LSU00216344.txt
LSU00217732,train,False,17,data\yolo_dataset\images\train\LSU00217732.jpg,data\yolo_dataset\labels\train\LSU00217732.txt
LSU00054239,train,False,21,data\yolo_dataset\images\train\LSU00054239.jpg,data\yolo_dataset\labels\train\LSU00054239.txt
LSU00117614,train,False,16,data\yolo_dataset\images\train\LSU00117614.jpg,data\yolo_dataset\labels\train\LSU00117614.txt
LSU00028800,train,False,12,data\yolo_dataset\images\train\LSU00028800.jpg,data\yolo_dataset\labels\train\LSU00028800.txt
LSU00224003,train,False,25,data\yolo_dataset\images\train\LSU00224003.jpg,data\yolo_dataset\labels\train\LSU00224003.txt
LSU00055563,train,False,15,data\yolo_dataset\images\train\LSU00055563.jpg,data\yolo_dataset\labels\train\LSU00055563.txt
