catalogNumber,image_path,leaf_detected,leaf_confidence,leaf_mask_path,leaf_patch_path,lamina_length_px,lamina_width_px,aspect_ratio,leaf_area_px,leaf_perimeter_px,leaf_solidity,capitulum_detected,capitulum_confidence,capitulum_count,capitulum_patch_path,annotation_slip_detected,annotation_slip_confidence,annotation_slip_count,annotation_slip_path,masked_artifacts_count,extraction_status,orientation_angle_deg,institutionCode,species_raw,determiner_raw,determiner_tier,latitude,longitude,doy,pheno_sin,pheno_cos,regional_group
00116749,data/raw_vouchers/00116749.jpg,True,0.5,data/masks/00116749_leaf.png,data/cropped_patches/basal_leaves/00116749_leaf.jpg,409.0,152.0,2.6908,27939.5,1506.18,0.6124,False,0.0,0,,False,0.0,0,,0,SUCCESS,-79.08,COLO,Packera paupercula (Michx.) Á.Löve & D.Löve,J. Downs,Tier_3_Bronze,39.180295,-106.059482,190,-0.126528,-0.991963,Other_US
00116756,data/raw_vouchers/00116756.jpg,True,0.5,data/masks/00116756_leaf.png,data/cropped_patches/basal_leaves/00116756_leaf.jpg,269.0,110.0,2.4455,5527.0,920.29,0.3071,False,0.0,0,,False,0.0,0,,0,SUCCESS,-59.04,COLO,Packera paupercula (Michx.) Á.Löve & D.Löve,David J. Cooper,Tier_3_Bronze,39.07582,-105.8556,200,-0.294462,-0.955663,Other_US
00116764,data/raw_vouchers/00116764.jpg,True,0.5,data/masks/00116764_leaf.png,data/cropped_patches/basal_leaves/00116764_leaf.jpg,898.0,77.0,11.6623,22651.0,2670.01,0.3422,False,0.0,0,,False,0.0,0,,0,SUCCESS,-86.48,COLO,Packera paupercula (Michx.) Á.Löve & D.Löve,Richard Walter,Tier_3_Bronze,39.41868,-105.88579,198,-0.261414,-0.965227,Other_US
00116772,data/raw_vouchers/00116772.jpg,True,0.5,data/masks/00116772_leaf.png,data/cropped_patches/basal_leaves/00116772_leaf.jpg,1176.0,44.0,26.7273,15826.5,3110.7,0.2804,False,0.0,0,,False,0.0,0,,0,SUCCESS,-63.72,COLO,Packera paupercula (Michx.) Á.Löve & D.Löve,Richard Walter,Tier_3_Bronze,39.41868,-105.88579,198,-0.261414,-0.965227,Other_US
00116780,data/raw_vouchers/00116780.jpg,True,0.5,data/masks/00116780_leaf.png,data/cropped_patches/basal_leaves/00116780_leaf.jpg,894.0,124.0,7.2097,40482.0,3399.58,0.3079,False,0.0,0,,False,0.0,0,,0,SUCCESS,-81.1,COLO,Packera paupercula (Michx.) Á.Löve & D.Löve,Richard Walter,Tier_3_Bronze,39.3787,-105.84316,204,-0.359472,-0.933156,Other_US
00116814,data/raw_vouchers/00116814.jpg,True,0.5,data/masks/00116814_leaf.png,data/cropped_patches/basal_leaves/00116814_leaf.jpg,1217.0,543.0,2.2413,225194.5,8571.72,0.407,False,0.0,0,,False,0.0,0,,0,SUCCESS,-76.01,COLO,Packera plattensis (Nutt.) W.A.Weber & Á.Löve,Dina Clark; Tim Hogan & Rick Brune,Tier_3_Bronze,37.003004,-103.448494,139,0.681972,-0.731378,Other_US
00116830,data/raw_vouchers/00116830.jpg,True,0.5,data/masks/00116830_leaf.png,data/cropped_patches/basal_leaves/00116830_leaf.jpg,618.0,363.0,1.7025,75086.0,3943.17,0.3786,False,0.0,0,,False,0.0,0,,0,SUCCESS,-84.16,COLO,Packera plattensis (Nutt.) W.A.Weber & Á.Löve,Tim Hogan,Tier_3_Bronze,39.921751,-105.242098,148,0.561034,-0.827793,Other_US
00116947,data/raw_vouchers/00116947.jpg,True,0.5,data/masks/00116947_leaf.png,data/cropped_patches/basal_leaves/00116947_leaf.jpg,1082.0,221.0,4.8959,62317.5,5788.69,0.307,False,0.0,0,,False,0.0,0,,0,SUCCESS,-79.63,COLO,Packera plattensis (Nutt.) W.A.Weber & Á.Löve,Tom Patterson; Craig Heacok,Tier_3_Bronze,37.640181,-102.52414,131,0.775859,-0.630907,Other_US
00116962,data/raw_vouchers/00116962.jpg,True,0.5,data/masks/00116962_leaf.png,data/cropped_patches/basal_leaves/00116962_leaf.jpg,898.0,584.0,1.5377,166328.0,9075.65,0.3743,False,0.0,0,,False,0.0,0,,0,SUCCESS,86.75,COLO,Packera plattensis (Nutt.) W.A.Weber & Á.Löve,Gregory Kunkel; Leila Shultz,Tier_3_Bronze,39.905855,-105.220914,156,0.442168,-0.896932,Other_US
00206664,data/raw_vouchers/00206664.jpg,True,0.5,data/masks/00206664_leaf.png,data/cropped_patches/basal_leaves/00206664_leaf.jpg,1211.0,678.0,1.7861,152323.0,9357.9,0.2348,False,0.0,0,,False,0.0,0,,0,SUCCESS,-84.14,COLO,Packera plattensis (Nutt.) W.A.Weber & Á.Löve,R.J. Rondeau,Tier_3_Bronze,40.611368,-105.155828,147,0.57519,-0.81802,Other_US
