catalogNumber,assigned_tier,ucs_score,solidity,midrib_angle,symmetry_reconstructed,mask_path,leaf_index,petiole_length_px,lamina_length_px,status
00116749,2,0.8537,0.6284,-86.73,TRUE,data/masks/tier2_reflected/00116749_reflected_0.png,0,45.4,79.76,TIER_2_SYMMETRY_REFLECTED_LOWER
00116749,2,0.838,0.5182,82.6,TRUE,data/masks/tier2_reflected/00116749_reflected_1.png,1,70.46,31.26,TIER_2_SYMMETRY_REFLECTED_LOWER
00116749,2,0.8794,0.573,-85.2,TRUE,data/masks/tier2_reflected/00116749_reflected_2.png,2,42.01,62.03,TIER_2_SYMMETRY_REFLECTED_UPPER
00116749,2,0.8106,0.7446,55.63,TRUE,data/masks/tier2_reflected/00116749_reflected_3.png,3,2.83,27.59,TIER_2_SYMMETRY_REFLECTED_UPPER
00116749,2,0.8878,0.5328,88.18,TRUE,data/masks/tier2_reflected/00116749_reflected_4.png,4,77.32,29.07,TIER_2_SYMMETRY_REFLECTED_UPPER
00116749,1,0.8783,0.7818,80.2,FALSE,data/masks/tier1_intact/00116749_leaf_5.png,5,8.06,85.84,TIER_1_INTACT_EXTRACTED
00116749,1,0.9068,0.7979,76.83,FALSE,data/masks/tier1_intact/00116749_leaf_6.png,6,18.03,26.25,TIER_1_INTACT_EXTRACTED
00116749,2,0.8034,0.5597,46.18,TRUE,data/masks/tier2_reflected/00116749_reflected_7.png,7,42.54,4.47,TIER_2_SYMMETRY_REFLECTED_UPPER
00116749,3,0.8059,0.5361,45.14,FALSE,data/masks/tier3_open_curves/00116749_curve_8.csv,8,9.0,41.77,TIER_3_OPEN_CURVE_EXTRACTED
00116749,2,0.843,0.7431,-79.38,TRUE,data/masks/tier2_reflected/00116749_reflected_9.png,9,22.8,34.21,TIER_2_SYMMETRY_REFLECTED_LOWER
00116749,1,0.9092,0.8356,-75.38,FALSE,data/masks/tier1_intact/00116749_leaf_10.png,10,12.37,17.46,TIER_1_INTACT_EXTRACTED
00116749,3,0.6744,0.6537,65.16,FALSE,data/masks/tier3_open_curves/00116749_curve_11.csv,11,18.0,15.23,TIER_3_OPEN_CURVE_EXTRACTED
00116749,2,0.8123,0.7566,-81.49,TRUE,data/masks/tier2_reflected/00116749_reflected_12.png,12,76.94,8.06,TIER_2_SYMMETRY_REFLECTED_UPPER
00116749,1,0.9238,0.8329,-89.88,FALSE,data/masks/tier1_intact/00116749_leaf_13.png,13,3.0,43.05,TIER_1_INTACT_EXTRACTED
00116749,2,0.8624,0.6741,-80.62,TRUE,data/masks/tier2_reflected/00116749_reflected_14.png,14,86.47,10.05,TIER_2_SYMMETRY_REFLECTED_UPPER
00116749,2,0.791,0.5378,56.13,TRUE,data/masks/tier2_reflected/00116749_reflected_15.png,15,29.07,50.99,TIER_2_SYMMETRY_REFLECTED_LOWER
00116749,2,0.8138,0.786,23.08,TRUE,data/masks/tier2_reflected/00116749_reflected_16.png,16,14.76,62.18,TIER_2_SYMMETRY_REFLECTED_UPPER
00116749,2,0.7356,0.5834,-5.16,TRUE,data/masks/tier2_reflected/00116749_reflected_17.png,17,62.29,53.24,TIER_2_SYMMETRY_REFLECTED_UPPER
00116749,2,0.6758,0.6234,-85.58,TRUE,data/masks/tier2_reflected/00116749_reflected_18.png,18,62.3,6.32,TIER_2_SYMMETRY_REFLECTED_LOWER
00116756,1,0.9087,0.7923,82.07,FALSE,data/masks/tier1_intact/00116756_leaf_0.png,0,16.49,24.74,TIER_1_INTACT_EXTRACTED
00116756,3,0.9143,0.7137,85.28,FALSE,data/masks/tier3_open_curves/00116756_curve_1.csv,1,3.0,33.38,TIER_3_OPEN_CURVE_EXTRACTED
00116756,2,0.8921,0.6597,22.02,TRUE,data/masks/tier2_reflected/00116756_reflected_2.png,2,56.65,6.32,TIER_2_SYMMETRY_REFLECTED_UPPER
00116756,2,0.894,0.5845,73.97,TRUE,data/masks/tier2_reflected/00116756_reflected_3.png,3,41.77,28.64,TIER_2_SYMMETRY_REFLECTED_UPPER
00116756,2,0.933,0.4812,-54.55,TRUE,data/masks/tier2_reflected/00116756_reflected_4.png,4,91.21,10.0,TIER_2_SYMMETRY_REFLECTED_UPPER
00116756,1,0.9395,0.7744,-83.04,FALSE,data/masks/tier1_intact/00116756_leaf_5.png,5,48.51,5.1,TIER_1_INTACT_EXTRACTED
00116756,2,0.8933,0.6485,-21.7,TRUE,data/masks/tier2_reflected/00116756_reflected_6.png,6,20.12,30.41,TIER_2_SYMMETRY_REFLECTED_LOWER
00116756,1,0.875,0.8013,-88.51,FALSE,data/masks/tier1_intact/00116756_leaf_7.png,7,6.08,39.2,TIER_1_INTACT_EXTRACTED
00116756,3,0.9246,0.6284,89.84,FALSE,data/masks/tier3_open_curves/00116756_curve_8.csv,8,1.0,7.0,TIER_3_OPEN_CURVE_EXTRACTED
00116756,1,0.9382,0.8436,-89.49,FALSE,data/masks/tier1_intact/00116756_leaf_9.png,9,51.09,6.0,TIER_1_INTACT_EXTRACTED
00116756,1,0.906,0.8735,-45.82,FALSE,data/masks/tier1_intact/00116756_leaf_10.png,10,34.06,3.61,TIER_1_INTACT_EXTRACTED
00116756,1,0.8858,0.7203,-62.93,FALSE,data/masks/tier1_intact/00116756_leaf_11.png,11,36.36,3.61,TIER_1_INTACT_EXTRACTED
00116756,1,0.9107,0.831,78.19,FALSE,data/masks/tier1_intact/00116756_leaf_12.png,12,7.28,41.48,TIER_1_INTACT_EXTRACTED
00116756,1,0.8685,0.8355,-36.69,FALSE,data/masks/tier1_intact/00116756_leaf_13.png,13,77.34,9.22,TIER_1_INTACT_EXTRACTED
00116756,1,0.9355,0.8011,83.38,FALSE,data/masks/tier1_intact/00116756_leaf_14.png,14,17.12,26.31,TIER_1_INTACT_EXTRACTED
00116756,1,0.9402,0.9171,81.8,FALSE,data/masks/tier1_intact/00116756_leaf_15.png,15,14.14,21.21,TIER_1_INTACT_EXTRACTED
00116756,1,0.9395,0.8187,82.4,FALSE,data/masks/tier1_intact/00116756_leaf_16.png,16,22.09,33.14,TIER_1_INTACT_EXTRACTED
00116756,2,0.9141,0.7032,35.17,TRUE,data/masks/tier2_reflected/00116756_reflected_17.png,17,13.89,38.95,TIER_2_SYMMETRY_REFLECTED_UPPER
00116756,2,0.8216,0.7212,2.44,TRUE,data/masks/tier2_reflected/00116756_reflected_18.png,18,8.0,22.02,TIER_2_SYMMETRY_REFLECTED_LOWER
00116764,2,0.9189,0.3177,-87.07,TRUE,data/masks/tier2_reflected/00116764_reflected_0.png,0,116.16,15.03,TIER_2_SYMMETRY_REFLECTED_UPPER
00116764,2,0.8789,0.7112,-82.5,TRUE,data/masks/tier2_reflected/00116764_reflected_1.png,1,127.57,14.04,TIER_2_SYMMETRY_REFLECTED_UPPER
00116764,1,0.904,0.7785,-86.74,FALSE,data/masks/tier1_intact/00116764_leaf_2.png,2,22.09,34.13,TIER_1_INTACT_EXTRACTED
00116764,2,0.809,0.6674,-80.15,TRUE,data/masks/tier2_reflected/00116764_reflected_3.png,3,24.33,58.69,TIER_2_SYMMETRY_REFLECTED_LOWER
00116764,2,0.8948,0.6307,-84.22,TRUE,data/masks/tier2_reflected/00116764_reflected_4.png,4,61.13,65.19,TIER_2_SYMMETRY_REFLECTED_LOWER
00116764,2,0.9207,0.5508,-88.92,TRUE,data/masks/tier2_reflected/00116764_reflected_5.png,5,159.0,21.0,TIER_2_SYMMETRY_REFLECTED_LOWER
